athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Martina De Memme,ITA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,8404,1
Barbara Pozzobon,ITA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,8405.9,2
Mafalda Rosa,POR,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,8567.9,3
Serena Stel,NED,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,8577.5,4
Oceane Cassignol,FRA,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,8979,5
Jovana Nedelkovska,MKD,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,9670.3,6
Ivana Nedelkovska,MKD,08/14/2021,LEN Cup,"Ohrid Lake, MKD",10,NW,Neutral,7,9705.1,7
end,,,2021_08_14_OhridLake_10km_W,,,,,,,
Jeannette Spiwoks,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7025.08032,1
Lea Boy,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7028.030016,2
Giulia Gabbrielleschi,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7032.999744,3
Ginevra Taddeucci,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7033.002336,4
Caroline Jouisse,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7033.029984,5
Anna Olasz,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7034.059872,6
Martina De Memme,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7037.050176,7
Angélica André,POR,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7039.09008,8
Barbara Pozzobon,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7041.02976,9
Mafalda Rosa,POR,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7041.079872,10
Sharon Van Rouwendaal,NED,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7054.089984,11
Leonie Beck,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7056.079776,12
Océane Cassignol,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7090.060032,13
Lisa Pou,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7248.0096,14
Serena Stel,NED,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7252.0704,15
Maria De Valdes Alvarez,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7270.059744,16
Angela Martinez Guillen,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7288.010208,17
Elea Linka,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7297.030368,18
Luca Vas,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7302.030336,19
Paula Otero Fernandez,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7303.010112,20
Candela Sanchez Lora,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7303.0896,21
Paula Ruiz Bravo,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7313.040288,22
Marie Kuntzmann,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7395.020064,23
Lenka Sterbova,CZE,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7444.009728,24
Laura Rodriguez Santaularia,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7447.039776,25
Alba Herrero Lazaro,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7461.02016,26
Aroa Silva Fidalgo,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7469.050176,27
Bettina Fábián,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7530.050304,28
Lara Maria Hernandez Tome,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7713.069696,29
Mariana Mendes,POR,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7718.069664,30
Celine Weil,SUI,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7788.03984,31
Emma Fredersdorf,SUI,09/25/2021,LEN Cup,"Barcelona, ESP",10,NW,Neutral,32,7895.009952,32
end,,,2021_09_25_Barcelona_10km_W,,,,,,,
Giulia Gabrielleschi,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7405.006176,1
Leonie Beck,GER,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7405.00704,2
Martina De Memme,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7408.003392,3
Caroline Jouisse,FRA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7411.008384,4
Yana Kutrseva,RUS,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7411.009248,5
Giulia Berton,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7412.00112,6
Lisa Pou,FRA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7413.004224,7
Aurelie Muller,FRA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7414.0056,8
Anna Olasz,HUN,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7414.009056,9
Barbara Pozzobon,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7416.006624,10
Reka Rohacs,HUN,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7422.007968,11
Ekaterina Sorokina,RUS,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7424.00208,12
Sofia Kolesnikova,RUS,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7424.007264,13
Sofie Callo,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7439.008032,14
Alisia Tettamanzi,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7441.000416,15
Kincso Gal,HUN,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7446.002112,16
Luca Vas,HUN,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7448.004864,17
Blanka Berecz,HUN,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7449.007104,18
Veronica Santoni,ITA,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7458.005664,19
Lenka Sterbova,CZE,10/03/2021,LEN Cup,"Piombino, ITA",10,NW,Neutral,40,7518.007008,20
