athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Fernando Dario Ciaramella,,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16,NW,Neutral,17,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_09_03_Capri-Napoli_16km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachlan Colquhoun,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventsislav Aydarski,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Signorini,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiki Nonaka,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taishin Minamide,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaspar Andrade Budino,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Wright,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yosuke Aoki,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupeng Liu,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyang Zhang,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremias Munoz,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katelnikof Alexander Dawson,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziao Qiu,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ching Leung Sunny Poon,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zibin Zhang,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenhao Wang,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Fung Tse,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Ho Tsang,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka Lung Kwan,,10/15/2017,FINA World Cup,"Chun'An, CHN",10,NW,Neutral,52,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
