athlete_name,country,date,event,location,distance,current_type,temp,field_size,time,place
Mathieu Mathy Ben Rahou,MAR,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"7,078.10",71
Mohamed Khalil Ben Ajmia,TUN,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"7,188.60",72
Matias Cordero,ECU,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"7,288.40",73
Grgo Mujan,CRO,02/15/2020,FINA World Cup,"Doha, QAT",10,No Current,Neutral,82,"7,690.50",74
end,,,2020_02_15_Doha_10km,,,,,,,0
Marc-Antoine Olivier,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,722.40",1
Kristof Rasovszky,HUN,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,725.50",2
Gregorio Paltrinieri,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,727.90",3
Mario Sanzullo,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,734.20",4
Axel Reymond,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,734.50",5
Logan Fontaine,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,735.70",6
Hector Thomas Cheal Pardoe,GBR,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,735.90",7
Ferry Weertman,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,736.20",8
David Huszti,HUN,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,737.60",9
Alberto Martinez,ESP,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,738.90",10
Matteo Furlan,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,739.20",11
Athanasios Kynigakis,GRE,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,741.90",12
Daniel Szekelyi,HUN,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,742.30",13
Logan Vanhuys,BEL,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,742.50",14
Jules Wallart,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,743.00",15
Simone Ruffini,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,743.40",16
David Farinango,ECU,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,744.90",17
Franco Ivo Cassini,ARG,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,745.00",18
Fares Zitouni,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,746.60",19
Tiago Campos,POR,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,748.00",20
Matej Kozubek,CZE,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,752.00",21
Esteban Enderica Salgado,ECU,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,753.10",22
Dario Verani,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,758.20",23
Jack Burnell,GBR,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,763.20",24
Peter Galicz,HUN,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,763.70",25
Pepijn Smits,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,766.20",26
Allan Do Carmo,BRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,767.40",27
Alessio Occhipinti,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,767.70",28
Guillem Pujol,ESP,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,783.30",29
Sebastien Dureux,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,785.20",30
Pol Gil,ESP,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,787.00",31
David Brandl,AUT,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,788.30",32
Lars Bottelier,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,790.10",33
Leo Ouabdesselam,FRA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,805.20",34
Marcel Schouten,NED,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,809.90",35
Francesco Ghettini,ITA,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,829.70",36
Vitaliy Khudyakov,KAZ,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,831.60",37
Elliot Sodemann,SWE,03/13/2021,FINA World Cup,"Doha, QAT",10,No Current,Neutral,70,"6,833.20",38
